ID Candidato,PI,12,Nota Candidatura,E1,C1,E2,C2,E3,C3,E4,C4,E5,C5
1,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
2,19,19,19,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
3,18,18,18,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
4,17,17,17,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
5,16,16,16,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
6,15,15,15,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
7,14,14,14,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
8,13,13,13,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
9,12,12,12,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
10,11,11,11,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
