ID Candidato,PI,12,Nota Candidatura,E1,C1,E2,C2,E3,C3,E4,C4,E5,C5
1,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
2,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,,
3,12,12,12,1518,L209,1518,L221,1518,9121,,,,
4,13,13,13,1518,L209,1518,L221,1518,9121,,,,
5,15,15,15,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
6,13,13,13,1518,L209,1518,L221,1518,9121,1518,L233,,
7,17,17,17,1518,L209,1518,L221,1518,9121,,,,
8,13,13,13,1518,L209,1518,L221,1518,9121,,,,
9,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
10,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,,
11,20,20,20,1518,L209,1518,L221,1518,9121,,,,
12,20,20,20,1518,L209,1518,L221,,,,,,
13,20,20,20,1518,L209,1518,L221,1518,9121,1518,L233,1518,9123
