Instituição,Curso,Vagas,Colocacoes,Nota_Mínima
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),16,17,15.950000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),15,15,14.450000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,20,6,10.000000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,25,25,14.650000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Europeus,20,20,15.200000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,20,20,16.450001
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,35,36,15.650000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,38,38,14.700000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,28,29,15.950000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Comunicação e Relações Públicas,40,40,14.000000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,21,21,15.350000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,24,24,16.750000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,50,26,10.000000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,25,25,13.400000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Mecânica,22,22,16.049999
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,28,27,10.000000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,26,15,10.000000
Universidade dos Açores - Faculdade de Economia e Gestão,Economia,20,20,16.500000
Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,53,44,10.000000
Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,25,26,15.300000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,26,27,15.650000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas  Literaturas e Culturas,25,25,16.700001
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,67,57,10.000000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,27,27,15.400000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,30,30,15.150000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação Intercultural,32,32,15.150000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,21,21,14.950000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia,21,21,16.500000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,42,44,16.400000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,63,47,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,21,21,15.500000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,20,22,17.150000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,84,57,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,27,27,16.150000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,50,18,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioengenharia,20,20,15.500000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Gestão Marinha e Costeira,27,27,15.850000
Universidade do Algarve - Faculdade de Economia,Economia,27,29,16.650000
Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,66,66,12.000000
Universidade do Algarve - Faculdade de Economia,Sociologia,37,38,16.250000
Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,Ciências Biomédicas,53,54,15.800000
Universidade de Aveiro,Administração Pública,61,63,16.549999
Universidade de Aveiro,Biologia,108,62,10.000000
Universidade de Aveiro,Biologia e Geologia,26,26,16.700001
Universidade de Aveiro,Bioquímica,66,66,15.750000
Universidade de Aveiro,Biotecnologia,64,64,13.800000
Universidade de Aveiro,Ciências do Mar,32,33,16.650000
Universidade de Aveiro,Design,51,51,15.900000
Universidade de Aveiro,Economia,51,40,10.000000
Universidade de Aveiro,Engenharia Civil,21,21,14.600000
Universidade de Aveiro,Engenharia de Materiais,27,27,14.850000
Universidade de Aveiro,Engenharia do Ambiente,20,21,17.049999
Universidade de Aveiro,Engenharia e Gestão Industrial,82,83,14.850000
Universidade de Aveiro,Engenharia Física,42,46,16.600000
Universidade de Aveiro,Engenharia Informática,75,79,16.150000
Universidade de Aveiro,Engenharia Mecânica,107,92,10.000000
Universidade de Aveiro,Engenharia Química,42,21,10.000000
Universidade de Aveiro,Física,21,22,15.650000
Universidade de Aveiro,Geologia,20,20,16.750000
Universidade de Aveiro,Gestão,44,46,15.050000
Universidade de Aveiro,Línguas e Estudos Editoriais,27,27,16.850000
Universidade de Aveiro,Línguas e Relações Empresariais,77,77,14.150000
Universidade de Aveiro,Línguas  Literaturas e Culturas,31,31,16.049999
Universidade de Aveiro,Matemática,35,35,13.700000
Universidade de Aveiro,Meteorologia  Oceanografia e Geofísica,20,21,16.000000
Universidade de Aveiro,Psicologia,36,33,10.000000
Universidade de Aveiro,Química,20,23,16.350000
Universidade de Aveiro,Tradução,39,41,16.950001
Universidade de Aveiro,Ciências Biomédicas,77,77,14.650000
Universidade de Aveiro,Engenharia Biomédica,37,38,15.800000
Universidade de Aveiro,Educação Básica,49,49,14.200000
Universidade de Aveiro,Gestão e Planeamento em Turismo,29,30,14.050000
Universidade de Aveiro,Engenharia de Automação Industrial,40,40,15.850000
Universidade de Aveiro,Engenharia Eletrotécnica e de Computadores,56,56,16.450001
Universidade de Aveiro,Engenharia de Computadores e Informática,91,94,14.600000
Universidade de Aveiro,Engenharia Aeroespacial,45,45,12.600000
Universidade de Aveiro,Engenharia Computacional,25,27,17.000000
Universidade de Aveiro,Multimédia e Tecnologias da Comunicação,74,67,10.000000
Universidade da Beira Interior,Optometria e Ciências da Visão,40,40,15.650000
Universidade da Beira Interior,Bioquímica,52,53,15.400000
Universidade da Beira Interior,Biotecnologia,51,52,14.400000
Universidade da Beira Interior,Ciência Política e Relações Internacionais,30,31,16.750000
Universidade da Beira Interior,Ciências da Comunicação,66,41,10.000000
