Candidato,Nota
7,15.000000
9,15.500000
13,13.650000
16,14.900000
20,14.200000
28,15.050000
31,13.850000
32,14.050000
35,13.650000
42,15.000000
54,16.750000
56,13.900000
67,14.950000
71,13.500000
73,14.400000
79,14.000000
84,15.100000
87,15.750000
96,14.250000
97,15.150000
108,12.250000
109,15.400000
113,15.800000
114,15.600000
118,16.049999
120,13.600000
121,14.250000
130,14.500000
135,14.600000
137,14.850000
142,14.050000
143,14.900000
144,14.950000
148,16.100000
150,15.700000
153,13.350000
160,15.250000
165,16.400000
167,15.300000
174,15.550000
176,15.000000
181,15.300000
182,14.700000
184,13.850000
188,15.700000
199,14.900000
201,13.400000
206,14.000000
207,12.800000
208,13.150000
210,15.050000
218,13.650000
227,14.200000
233,14.400000
240,15.500000
252,12.500000
256,16.400000
264,15.250000
267,16.250000
276,13.950000
282,14.300000
291,15.550000
294,14.450000
297,14.600000
299,14.200000
311,13.950000
314,15.050000
315,12.350000
316,15.200000
319,15.500000
322,14.750000
328,14.400000
330,14.400000
339,14.350000
343,12.850000
344,15.300000
354,12.750000
355,14.700000
361,13.100000
363,15.350000
366,15.050000
374,13.750000
379,13.600000
380,15.200000
381,14.150000
384,13.750000
386,14.700000
389,15.550000
392,15.150000
402,14.300000
403,15.650000
408,15.200000
411,15.750000
429,15.850000
431,14.450000
434,15.300000
438,15.350000
442,14.750000
446,13.950000
450,14.300000
454,15.450000
457,16.200001
462,13.000000
469,12.750000
476,15.650000
479,16.000000
484,13.800000
487,14.700000
488,14.200000
496,14.450000
505,14.350000
506,13.950000
508,15.350000
531,14.450000
535,15.950000
536,14.350000
537,14.250000
542,14.250000
543,15.650000
544,15.750000
549,14.750000
553,15.450000
559,13.800000
560,12.850000
563,14.300000
573,15.450000
574,14.650000
580,13.200000
583,14.800000
585,13.850000
587,15.150000
606,15.400000
611,13.400000
613,15.800000
616,14.450000
619,14.400000
630,15.450000
631,14.550000
633,15.950000
634,14.650000
637,14.650000
648,14.300000
664,13.400000
672,15.050000
676,15.050000
682,14.650000
689,15.150000
690,16.049999
691,14.800000
695,15.000000
706,15.550000
710,16.600000
716,15.650000
717,14.600000
719,15.350000
722,13.250000
723,15.250000
724,14.200000
726,13.500000
729,13.600000
730,13.250000
731,13.850000
733,14.500000
734,15.150000
735,13.400000
738,14.100000
745,14.100000
757,14.900000
767,15.450000
770,15.150000
771,14.750000
772,15.000000
775,12.200000
780,15.450000
783,15.350000
784,14.250000
787,15.600000
793,14.550000
794,13.900000
799,15.500000
816,13.500000
817,14.100000
827,14.100000
828,14.550000
829,14.650000
830,12.800000
842,14.600000
843,14.450000
848,14.750000
852,15.200000
856,13.650000
865,14.800000
871,15.500000
872,14.600000
876,15.550000
877,13.350000
878,13.350000
883,14.350000
884,13.750000
890,16.150000
892,13.600000
895,16.650000
903,15.400000
907,15.250000
909,14.450000
910,15.500000
913,14.150000
919,14.500000
939,13.550000
940,15.350000
941,12.850000
943,13.600000
945,14.200000
946,13.700000
948,15.900000
955,15.150000
959,13.050000
963,14.150000
965,14.250000
966,15.100000
967,15.950000
976,14.500000
983,14.700000
987,15.900000
993,13.750000
996,14.250000
997,14.450000
1002,15.400000
1005,15.250000
1016,13.650000
1017,14.000000
1027,13.750000
1030,13.900000
1033,15.300000
1035,15.000000
1037,14.800000
1039,14.850000
1040,14.650000
1042,14.900000
1046,15.800000
1049,13.850000
1054,12.750000
1059,13.700000
1060,14.800000
1063,15.250000
1066,15.200000
1069,14.700000
1074,14.750000
1080,14.950000
1082,15.150000
1089,14.650000
1093,14.050000
1098,13.550000
1108,15.800000
1114,14.900000
1118,12.950000
1124,15.900000
1127,15.000000
1137,16.100000
1142,13.950000
1147,14.200000
1152,16.150000
1156,14.600000
1158,14.800000
1161,14.450000
1163,14.250000
1179,15.350000
1191,16.200001
1193,13.800000
1195,16.200001
1200,14.550000
1202,14.550000
1204,14.850000
1205,13.900000
1206,15.350000
1221,16.600000
1247,16.700001
1254,14.000000
1260,15.300000
1262,14.150000
1264,13.800000
1265,14.550000
1270,14.150000
1275,14.100000
1282,13.450000
1287,14.250000
1290,14.650000
1292,15.600000
1294,14.300000
1300,14.250000
1305,15.300000
1315,15.150000
1318,14.800000
1324,13.450000
1325,12.550000
1330,13.650000
1334,14.400000
1335,15.350000
1340,13.900000
1347,14.450000
1351,14.700000
1360,14.050000
1361,12.550000
1367,15.250000
1368,14.100000
1369,13.400000
1373,12.100000
1374,15.950000
1376,15.150000
1377,15.200000
1378,15.100000
1384,13.900000
1385,15.050000
1388,15.700000
1391,14.650000
1393,13.300000
1395,14.550000
1397,13.800000
1401,15.000000
1403,14.150000
1404,14.700000
1411,14.100000
1413,15.500000
1415,14.850000
1419,14.850000
1421,14.350000
1423,14.150000
1432,13.850000
1437,13.250000
1438,14.700000
1446,14.600000
1448,14.450000
1450,15.300000
1452,13.250000
1453,14.300000
1459,15.100000
1460,15.900000
1461,14.150000
1463,13.350000
1464,13.450000
1466,15.000000
1469,13.450000
1470,14.450000
1478,13.650000
1479,15.450000
1480,14.750000
1482,14.950000
1483,15.400000
1485,14.550000
1492,14.950000
1493,13.600000
1498,14.950000
1500,14.450000
1501,15.000000
1505,13.800000
1507,13.050000
1509,14.450000
1510,16.049999
1516,14.450000
1520,16.200001
1522,13.850000
1543,13.850000
1552,14.350000
1561,12.150000
1565,14.850000
1569,13.550000
1584,13.350000
1585,14.450000
1587,15.000000
1589,14.300000
1592,14.200000
1593,12.850000
1595,13.450000
1598,15.200000
1599,14.950000
1605,15.600000
1609,14.750000
1610,13.600000
1612,13.350000
1617,15.800000
1618,15.100000
1619,13.500000
1623,15.200000
1632,13.450000
1634,11.750000
1636,15.000000
1637,14.000000
1643,16.049999
1645,15.800000
1646,15.450000
1649,14.950000
1662,14.450000
1665,15.550000
1672,14.450000
1673,14.950000
1675,14.600000
1681,13.400000
1684,14.400000
1692,13.850000
1693,15.000000
1694,14.500000
1696,14.250000
1702,15.150000
1704,13.350000
1722,15.250000
1725,12.700000
1726,14.650000
1732,14.000000
1741,15.300000
1745,14.750000
1751,14.650000
1752,15.550000
1753,15.000000
1757,14.700000
1768,14.100000
1770,15.450000
1778,14.500000
1782,15.050000
1788,16.549999
1795,13.850000
1798,14.200000
1802,12.900000
1804,15.450000
1805,14.050000
1809,15.100000
1810,14.400000
1815,14.750000
1817,15.200000
1818,14.050000
1819,15.750000
1823,15.400000
1824,13.700000
1832,15.700000
1839,15.150000
1841,14.500000
1845,14.950000
1851,16.000000
1865,14.650000
1877,13.300000
1881,14.000000
1882,13.800000
1887,15.200000
1889,14.550000
1894,14.100000
1897,14.050000
1905,14.150000
1908,13.450000
1909,14.950000
1927,14.850000
1956,13.450000
1957,15.300000
1964,15.850000
1968,14.400000
1981,14.100000
1986,14.650000
1988,15.100000
1993,15.000000
1997,14.150000
1998,12.900000
1999,13.300000
2004,13.350000
2009,12.450000
2017,12.800000
2022,15.100000
2027,14.300000
2031,15.550000
2037,15.400000
2040,14.950000
2044,16.500000
2052,16.750000
2061,13.500000
2068,15.250000
2070,14.550000
2072,13.550000
2074,15.600000
2080,13.800000
2082,14.650000
2085,13.350000
2090,13.900000
2092,16.400000
2099,15.700000
2106,14.100000
2117,13.900000
2119,14.000000
2127,14.800000
2128,12.900000
2133,15.950000
2137,15.200000
2139,14.300000
2147,14.800000
2152,14.100000
2154,15.300000
2156,14.850000
2161,13.300000
2165,15.500000
2166,16.000000
2172,15.000000
2175,16.500000
2176,12.200000
2179,15.100000
2182,15.800000
2183,12.950000
2191,15.500000
2196,14.350000
2198,14.800000
2199,14.500000
2200,15.300000
2203,14.500000
2204,13.650000
2214,14.550000
2219,16.299999
2225,14.800000
2227,14.600000
2233,13.100000
2238,14.000000
2241,15.250000
2244,13.900000
2247,13.700000
2248,14.050000
2253,13.950000
2255,14.650000
2258,15.450000
2260,15.700000
2263,15.250000
2264,14.600000
2265,15.700000
2283,15.000000
2284,14.300000
2287,14.550000
2291,15.250000
2293,15.150000
2294,13.800000
2301,16.049999
2306,14.950000
2315,14.650000
2319,14.900000
2321,12.950000
2325,15.100000
2332,12.700000
2340,15.300000
2346,14.700000
2349,14.800000
2356,14.050000
2361,13.900000
2362,14.250000
2376,16.400000
2378,15.500000
2381,14.250000
2395,13.750000
2400,14.900000
2406,14.800000
2410,13.850000
2411,14.500000
2414,13.950000
2422,14.850000
2425,14.300000
2429,15.400000
2438,14.400000
2439,12.100000
2441,15.250000
2454,15.900000
2456,15.050000
2459,15.300000
2460,14.600000
2477,15.550000
2482,14.150000
2484,15.250000
2496,14.650000
2505,14.650000
2506,14.450000
2517,13.850000
2520,13.000000
2522,14.650000
2523,14.300000
2535,14.300000
2536,14.000000
2553,14.200000
2554,13.650000
2555,15.350000
2558,14.200000
2559,14.800000
2560,15.450000
2562,14.250000
2572,15.400000
2573,13.850000
2575,15.450000
2580,13.800000
2585,13.700000
2586,15.600000
2592,13.350000
2593,14.200000
2594,13.750000
2612,14.200000
2619,15.000000
2620,15.700000
2622,14.750000
2624,15.000000
2640,13.950000
2641,14.350000
2643,13.500000
2647,13.650000
2648,15.250000
2654,13.050000
2656,13.100000
2660,15.250000
2673,16.000000
2674,14.800000
2675,13.500000
2680,14.300000
2683,15.900000
2686,13.950000
2687,13.900000
2691,15.250000
2692,15.000000
2700,14.900000
2703,14.200000
2704,14.850000
2713,14.650000
2728,15.300000
2732,14.450000
2733,13.900000
2737,14.400000
2740,14.850000
2744,13.200000
2751,14.400000
2755,12.550000
2756,14.350000
2770,14.500000
2774,15.350000
2777,15.000000
2784,15.300000
2786,14.150000
2787,13.200000
2791,14.850000
2807,14.250000
2812,15.150000
2815,12.700000
2819,16.400000
2822,13.550000
2824,13.800000
2831,14.650000
2835,13.400000
2838,15.250000
2840,14.250000
2845,13.700000
2847,15.050000
2851,12.050000
2853,15.550000
2854,14.950000
2867,14.000000
2872,14.600000
2873,15.350000
2877,15.050000
2880,15.450000
2881,13.100000
2882,14.450000
2886,14.250000
2887,14.550000
2901,14.350000
2904,15.350000
2911,14.350000
2916,13.400000
2918,12.200000
2923,16.000000
2926,14.850000
2930,13.250000
2931,13.500000
2934,14.950000
2937,16.500000
2939,14.200000
2940,12.350000
2943,15.650000
2956,14.500000
2961,15.200000
2962,14.950000
2963,13.000000
2969,15.950000
2975,15.800000
2976,14.650000
2979,13.750000
2989,16.250000
2990,13.400000
2993,14.550000
2999,15.500000
3000,14.400000
3002,14.750000
3007,15.050000
3010,13.300000
3011,12.900000
3013,14.500000
3014,15.050000
3021,13.400000
3027,15.900000
3032,14.800000
3036,15.700000
3039,15.700000
3040,14.900000
3045,13.550000
3046,14.350000
3055,14.750000
3066,14.100000
3083,14.700000
3086,13.800000
3098,13.250000
3100,15.850000
3108,14.300000
3109,13.600000
3111,14.150000
3113,15.050000
3115,15.300000
3116,14.000000
3117,13.700000
3122,15.200000
3123,16.750000
3130,14.350000
3133,15.650000
3142,13.950000
3145,15.050000
3152,15.050000
3155,14.800000
3158,15.550000
3169,15.550000
3173,15.650000
3183,13.100000
3184,13.300000
3189,15.050000
3196,15.250000
3200,14.800000
3207,15.400000
3209,15.300000
3210,14.250000
3213,11.050000
3214,14.450000
3222,14.950000
3225,14.000000
3227,14.750000
3234,14.300000
3250,14.450000
3254,14.400000
3258,16.299999
3267,13.050000
3269,15.450000
3274,15.600000
3277,15.300000
3283,12.950000
3288,13.800000
3290,16.150000
3298,14.900000
3300,16.400000
3307,15.050000
3310,14.450000
3316,15.050000
3317,13.950000
3323,15.200000
3325,14.600000
3337,15.500000
3338,12.000000
3340,14.550000
3344,15.350000
3348,14.100000
3351,15.150000
3353,15.050000
3358,15.500000
3379,14.900000
3380,15.450000
3383,16.549999
3385,14.850000
3396,14.950000
3399,15.700000
3402,14.400000
3408,14.100000
3409,14.750000
3412,14.600000
3415,14.600000
3419,15.650000
3422,13.700000
3423,16.200001
3425,15.550000
3427,13.350000
3428,13.050000
3432,14.550000
3433,14.650000
3436,13.200000
3441,13.550000
3444,15.250000
3447,14.500000
3448,14.100000
3450,15.300000
3456,15.450000
3459,14.450000
3467,12.100000
3485,15.350000
3489,12.750000
3500,17.150000
3503,15.100000
3504,14.700000
3505,15.250000
3509,16.000000
3512,15.750000
3518,15.150000
3526,13.900000
3533,14.500000
3535,13.950000
3536,15.800000
3546,16.700001
3547,14.250000
3548,14.950000
3555,14.650000
3557,15.450000
3560,14.850000
3562,13.050000
3567,14.350000
3576,14.150000
3586,14.150000
3591,14.400000
3595,15.100000
3596,13.450000
3597,15.150000
3598,15.050000
3601,15.150000
3606,15.600000
3612,15.300000
3614,13.750000
3615,14.950000
3621,15.400000
3623,14.600000
3624,16.700001
3630,16.900000
3634,15.700000
3638,15.000000
3639,13.450000
3640,14.250000
3641,14.850000
3646,14.950000
3649,12.450000
3650,14.550000
3651,15.550000
3668,15.350000
3670,14.700000
3672,15.450000
3681,15.050000
3689,13.600000
3703,16.299999
3708,15.550000
3713,13.400000
3724,14.700000
3734,14.650000
3742,14.750000
3743,15.600000
3754,15.350000
3762,15.150000
3763,14.100000
3767,15.350000
3776,16.549999
3778,13.900000
3781,13.950000
3782,13.850000
3784,15.200000
3788,15.500000
3792,15.250000
3798,15.200000
3800,15.850000
3801,14.200000
3805,14.550000
3807,14.450000
3816,14.100000
3822,13.650000
3823,14.350000
3824,14.300000
3825,14.300000
3827,15.650000
3828,14.750000
3830,14.100000
3833,15.450000
3836,14.050000
3848,12.850000
3849,15.300000
3858,16.000000
3864,14.550000
3865,14.850000
3871,15.550000
3873,14.550000
3885,14.900000
3897,13.950000
3899,13.900000
3908,16.200001
3915,12.900000
3923,14.600000
3928,13.500000
3938,13.400000
3939,15.750000
3943,16.000000
3944,14.700000
3945,13.400000
3946,14.750000
3947,13.700000
3948,14.250000
3952,15.600000
3963,13.650000
3966,14.600000
3967,15.800000
3980,15.950000
3986,13.300000
3987,13.750000
3989,14.500000
3994,15.900000
4002,15.150000
4005,13.600000
4007,14.900000
4008,12.900000
4011,13.800000
4015,14.700000
4022,14.000000
4027,14.500000
4028,13.750000
4038,14.600000
4046,16.150000
4047,13.350000
4049,13.550000
4053,14.550000
4054,14.950000
4058,14.250000
4068,15.900000
4074,14.000000
4075,14.500000
4076,15.700000
4098,14.250000
4099,16.049999
4106,14.300000
4112,13.800000
4113,14.600000
4114,14.000000
4117,14.300000
4120,14.150000
4121,13.100000
4126,14.950000
4133,14.550000
4139,14.300000
4141,13.850000
4145,14.200000
4153,13.800000
4160,13.150000
4168,16.000000
4173,16.299999
4177,13.250000
4178,14.750000
4181,14.600000
4183,12.150000
4185,14.850000
4187,15.300000
4188,14.450000
4193,13.800000
4195,15.250000
4200,13.950000
4202,15.400000
4208,15.650000
4214,14.650000
4217,14.600000
4218,15.300000
4221,13.300000
4237,14.600000
4246,14.850000
4248,14.850000
4250,13.700000
4251,14.750000
4253,15.250000
4257,15.050000
4259,13.850000
4263,14.300000
4268,14.900000
4273,14.250000
4275,13.800000
4283,14.400000
4285,14.150000
4286,16.299999
4287,13.700000
4292,13.400000
4295,16.000000
4297,12.500000
4308,14.300000
4309,14.850000
4315,13.100000
4318,15.050000
4327,15.600000
4339,13.850000
4345,15.750000
4357,16.000000
4363,15.250000
4367,13.950000
4372,14.050000
4375,14.650000
4380,14.100000
4383,14.100000
4396,11.850000
4399,14.750000
4400,12.900000
4401,14.200000
4402,14.500000
4416,13.350000
4423,15.000000
4428,14.900000
4430,13.600000
4432,15.050000
4448,14.550000
4451,13.100000
4452,14.200000
4455,13.500000
4459,16.549999
4460,13.600000
4461,13.350000
4472,15.450000
4475,14.100000
4490,15.150000
4491,15.150000
4501,14.450000
4503,14.750000
4504,14.300000
4511,14.200000
4515,14.850000
4525,15.550000
4527,15.350000
4534,15.750000
4535,14.200000
4537,15.500000
4547,13.500000
4548,15.700000
4558,13.050000
4562,14.450000
4578,15.500000
4580,14.250000
4584,14.400000
4585,14.850000
4586,15.950000
4589,14.500000
4598,13.600000
4601,15.550000
4605,14.200000
4606,13.650000
4609,14.550000
4612,15.150000
4620,15.700000
4621,13.850000
4626,12.150000
4629,15.050000
4637,15.000000
