ID Candidato,PI,12,Nota Candidatura,Curso 1,,Curso 2,,Curso 3,,Curso 4,,Curso 5,
1,13.2,17.8,15.5,300,9252,3032,L181,3141,9003,1104,9147,,
2,18.6,14.1,16.35,1110,9813,3154,9090,3135,9117,1105,L209,3062,8342
3,17.3,14.7,16,3152,9112,1113,9548,7230,9890,,,,
4,17,15.8,16.4,501,9223,902,9204,3118,9121,3064,9105,,
5,16.6,14.7,15.65,3105,9087,201,8509,1000,9785,6800,9257,,
6,16.1,15.6,15.85,1107,L251,3011,8005,3101,9797,3082,9173,,
7,16,14,15,1518,9345,7080,9500,,,,,,
8,15.9,16.8,16.35,1518,9345,1517,9081,7001,9500,901,9554,,
9,14,17,15.5,3102,9123,602,9015,604,9219,300,9204,3112,9005
10,14.7,17.2,15.95,1504,8358,1107,9240,3054,9147,1107,9006,,
11,18.1,14,16.05,1105,9104,400,9835,1105,L236,1507,9554,501,L285
12,18.6,17.1,17.85,300,9196,1105,9104,,,,,,
13,14.3,13,13.65,1105,9104,3087,9254,3032,8417,,,,
14,14.9,15.2,15.05,1107,9182,1105,L209,501,9119,602,9760,3012,L194
15,14.1,16.6,15.35,6800,9081,1110,9708,1107,9694,1506,9182,,
16,16.8,13,14.9,3032,8311,3118,9109,1516,9002,3022,9010,,
17,13.7,14.4,14.05,1320,9500,902,9023,3031,9990,,,,
18,16.3,14.1,15.2,3061,9673,902,9139,6800,8014,,,,
19,19.4,14.8,17.1,501,9104,1518,9123,1114,9066,902,9006,,
20,17.2,11.2,14.2,903,9116,1109,9026,,,,,,
21,18,15.9,16.95,7220,9549,1518,9455,1105,9125,,,,
22,18.6,14.9,16.75,1506,8104,1510,9162,3182,9491,,,,
23,16.1,14.7,15.4,3153,9630,7220,9549,3064,9119,1202,9147,,
24,12.2,20,16.1,3102,9690,300,9123,3153,9993,1107,9040,603,9347
25,14.2,20,17.1,903,9116,1000,9123,,,,,,
26,20,16,18,906,8259,3134,9043,3063,9061,,,,
27,19.3,16.4,17.85,1518,L221,901,9554,,,,,,
28,15.9,14.2,15.05,3145,L008,3112,L134,501,9223,,,,
29,16.1,16.7,16.4,1000,8183,400,9112,170,9254,903,L209,,
30,16.5,15.5,16,7085,9500,1202,9254,3135,9123,3134,8005,,
31,12.1,15.6,13.85,1107,9040,6810,L282,903,9119,1201,9752,1103,L227
32,13.9,14.2,14.05,3134,8005,1110,9847,7055,9556,,,,
33,13.3,15,14.15,1518,L209,602,9210,1506,8458,,,,
34,19.2,15.9,17.55,3142,L179,1000,9195,7002,9500,1105,L209,,
35,10.9,16.4,13.65,1516,9023,7210,8149,7110,8011,3163,9087,,
36,16.5,17,16.75,1308,9081,6800,L030,3118,9121,150,9219,,
37,15.9,16.7,16.3,1506,8104,1000,9223,3331,9213,1000,9817,1104,9081
38,15.9,13,14.45,3141,9003,911,9078,1000,9205,1103,8258,,
39,16.8,16.3,16.55,300,9252,400,9240,602,9818,,,,
40,16.1,13.4,14.75,1503,9146,1518,L221,1502,9070,1507,9554,,
41,12.9,19.3,16.1,1000,9123,503,9240,604,9787,3142,9084,,
42,16.2,13.8,15,1514,8411,503,9240,505,9773,,,,
43,14.3,13.9,14.1,7001,9500,901,9554,3186,9168,,,,
44,16.5,14.9,15.7,1105,L209,3135,9455,906,L188,,,,
45,15.2,13.5,14.35,903,9119,3122,9147,3142,9853,,,,
46,16,15.8,15.9,3118,9121,1502,9072,,,,,,
47,13.3,17.2,15.25,903,9116,505,8393,3042,8323,1504,9078,,
48,15.8,15.7,15.75,507,9026,3151,9853,502,8067,300,9069,,
49,17.8,15.1,16.45,3163,9751,3113,9222,1000,9229,1503,9015,,
50,15.8,17.6,16.7,1110,9847,3121,9084,1107,9182,1105,9125,,
51,15.7,17.6,16.65,1517,A001,903,9348,3135,9119,,,,
52,17.3,15.6,16.45,3117,9058,7020,9500,160,9185,604,9240,902,9252
53,16.4,16.2,16.3,3045,9254,1518,9121,6810,L282,,,,
54,16.5,17,16.75,503,9240,1506,L097,,,,,,
55,16.4,14.5,15.45,1202,9853,203,9003,1518,9089,,,,
56,14.4,13.4,13.9,1506,8413,501,9448,6800,9927,,,,
57,18.1,15.4,16.75,7005,8138,6800,9098,1202,9204,3118,9109,,
58,15.8,18.4,17.1,1107,L251,1503,L096,1107,9197,,,,
59,15.7,16.8,16.25,3138,L091,1201,9129,1516,9448,1309,9011,,
60,17.6,17.7,17.65,903,9224,3117,9058,1000,9019,902,9204,,
61,14.7,20,17.35,1000,9379,1000,9123,3063,9801,1518,9123,,
62,17.3,17.3,17.3,3134,9867,3331,9069,3161,L164,7020,L066,,
63,15.9,16.3,16.1,7075,9500,3082,9205,300,9012,1105,L236,1203,L253
64,12.5,19.8,16.15,300,L202,1505,9494,203,9013,3145,9763,,
65,16.5,15,15.75,6800,9448,902,9182,3135,9119,1510,9841,7005,9500
66,15.6,19.7,17.65,203,9494,3123,9130,3054,9147,,,,
67,14.5,15.4,14.95,7015,8149,1105,9540,3135,9117,,,,
68,13.7,17.4,15.55,1502,9904,300,9194,300,L209,903,L167,3145,L008
69,18.1,12.6,15.35,1000,9081,1107,9192,6800,9156,,,,
70,16.3,13.9,15.1,6800,9119,505,9132,1508,9791,,,,
71,12,15,13.5,1507,9554,902,9040,1105,9125,,,,
72,14.9,17.8,16.35,300,9089,3134,9053,1501,9071,,,,
73,13.1,15.7,14.4,1519,9104,1516,9240,7210,8149,3091,9005,,
74,16.4,18.4,17.4,903,L167,901,9554,3082,9205,1000,9012,3112,L134
75,15.5,15,15.25,1507,9813,1504,9078,1503,9113,1506,9182,,
76,17.4,16.7,17.05,3138,9119,1111,9707,7065,9500,1504,8358,,
77,11.4,13.3,12.35,1501,9257,3103,9457,300,9015,1204,9554,1110,9708
78,14,17.1,15.55,7220,L067,3092,9157,3063,8519,,,,
79,14,14,14,7210,L066,3118,9455,3105,L131,,,,
80,16.6,15.2,15.9,3131,9879,1000,9209,507,9026,,,,
81,14.4,19.2,16.8,3118,9121,7003,9500,1108,9813,1000,9785,3145,9763
82,16.9,15.5,16.2,903,L231,1103,9086,3113,9010,,,,
83,17,12.8,14.9,3041,9752,3092,9089,3102,9147,,,,
84,16.8,13.4,15.1,3064,9105,1504,8358,3113,9222,906,L188,,
85,16.8,15.9,16.35,3112,9005,1000,8183,1000,9012,3142,9853,,
86,19.6,13.1,16.35,1103,9113,3153,8111,6800,L189,1105,9104,201,9817
87,16.2,15.3,15.75,1516,9157,7015,8149,6800,9240,,,,
88,16.6,14.8,15.7,903,9104,150,L041,,,,,,
89,16.5,16.2,16.35,1104,9147,1514,8411,901,9554,3102,8015,903,9123
90,16.8,14.8,15.8,3117,9058,503,9240,506,9813,7230,L067,3182,9109
91,17.6,18,17.8,604,9853,3182,8517,501,9448,,,,
92,17.4,15,16.2,3118,9455,3051,L093,3023,9242,902,9145,,
93,17.5,15.4,16.45,7020,9500,1204,9554,602,9012,3118,9121,1000,L188
94,16.7,15.7,16.2,3033,9470,7230,L066,6800,9156,,,,
95,18.8,12.4,15.6,3163,9148,503,9147,1506,8458,3012,L194,,
96,16,12.5,14.25,1104,9081,1501,G008,,,,,,
