Instituição,Curso,Vagas,Colocacoes,Nota_Mínima
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),16,17,16.100000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),15,15,15.350000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,20,6,10.000000
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,25,25,15.050000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Europeus,20,21,15.400000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,20,20,16.500000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,35,36,15.800000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,38,38,14.700000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,28,30,15.450000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Comunicação e Relações Públicas,40,40,13.450000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,21,21,15.950000
Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,24,25,16.600000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,50,28,10.000000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,25,20,10.000000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Mecânica,22,22,16.500000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,28,26,10.000000
Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,26,16,10.000000
Universidade dos Açores - Faculdade de Economia e Gestão,Economia,20,20,16.650000
Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,53,53,14.700000
Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,25,25,15.550000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,26,26,15.400000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas  Literaturas e Culturas,25,25,16.750000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,67,67,14.150000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,27,27,15.150000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,30,31,15.700000
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação Intercultural,32,33,14.950000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,21,21,15.650000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia,21,22,16.450001
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,42,42,16.750000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,63,62,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,21,21,16.049999
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,20,22,17.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,84,54,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,27,29,16.500000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,50,31,10.000000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioengenharia,20,20,15.600000
Universidade do Algarve - Faculdade de Ciências e Tecnologia,Gestão Marinha e Costeira,27,27,15.300000
Universidade do Algarve - Faculdade de Economia,Economia,27,27,16.950001
Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,66,66,14.350000
Universidade do Algarve - Faculdade de Economia,Sociologia,37,38,16.150000
Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,Ciências Biomédicas,53,55,15.750000
Universidade de Aveiro,Administração Pública,61,63,16.500000
Universidade de Aveiro,Biologia,108,70,10.000000
Universidade de Aveiro,Biologia e Geologia,26,28,16.500000
Universidade de Aveiro,Bioquímica,66,67,15.950000
Universidade de Aveiro,Biotecnologia,64,64,13.500000
Universidade de Aveiro,Ciências do Mar,32,34,16.150000
Universidade de Aveiro,Design,51,51,16.200001
Universidade de Aveiro,Economia,51,51,12.200000
Universidade de Aveiro,Engenharia Civil,21,21,14.000000
Universidade de Aveiro,Engenharia de Materiais,27,27,15.000000
Universidade de Aveiro,Engenharia do Ambiente,20,21,17.500000
Universidade de Aveiro,Engenharia e Gestão Industrial,82,82,14.950000
Universidade de Aveiro,Engenharia Física,42,43,16.799999
Universidade de Aveiro,Engenharia Informática,75,75,16.100000
Universidade de Aveiro,Engenharia Mecânica,107,104,10.000000
Universidade de Aveiro,Engenharia Química,42,28,10.000000
Universidade de Aveiro,Física,21,21,15.900000
Universidade de Aveiro,Geologia,20,20,16.650000
Universidade de Aveiro,Gestão,44,46,14.600000
Universidade de Aveiro,Línguas e Estudos Editoriais,27,28,16.900000
Universidade de Aveiro,Línguas e Relações Empresariais,77,79,13.950000
Universidade de Aveiro,Línguas  Literaturas e Culturas,31,31,15.500000
Universidade de Aveiro,Matemática,35,35,14.750000
Universidade de Aveiro,Meteorologia  Oceanografia e Geofísica,20,20,16.950001
Universidade de Aveiro,Psicologia,36,33,10.000000
Universidade de Aveiro,Química,20,23,16.000000
Universidade de Aveiro,Tradução,39,39,16.500000
Universidade de Aveiro,Ciências Biomédicas,77,78,14.900000
Universidade de Aveiro,Engenharia Biomédica,37,38,16.200001
Universidade de Aveiro,Educação Básica,49,50,14.600000
Universidade de Aveiro,Gestão e Planeamento em Turismo,29,30,15.550000
Universidade de Aveiro,Engenharia de Automação Industrial,40,40,15.950000
Universidade de Aveiro,Engenharia Eletrotécnica e de Computadores,56,59,16.299999
Universidade de Aveiro,Engenharia de Computadores e Informática,91,91,15.000000
Universidade de Aveiro,Engenharia Aeroespacial,45,45,14.800000
Universidade de Aveiro,Engenharia Computacional,25,26,16.900000
Universidade de Aveiro,Multimédia e Tecnologias da Comunicação,74,74,13.600000
Universidade da Beira Interior,Optometria e Ciências da Visão,40,44,15.750000
Universidade da Beira Interior,Bioquímica,52,55,15.450000
Universidade da Beira Interior,Biotecnologia,51,51,15.200000
Universidade da Beira Interior,Ciência Política e Relações Internacionais,30,30,16.250000
Universidade da Beira Interior,Ciências da Comunicação,66,49,10.000000
Universidade da Beira Interior,Ciências da Cultura,22,22,16.450001
Universidade da Beira Interior,Cinema,48,48,16.200001
Universidade da Beira Interior,Design de Moda,60,60,13.550000
Universidade da Beira Interior,Design Industrial,53,54,15.200000
Universidade da Beira Interior,Design Multimédia,48,48,16.100000
Universidade da Beira Interior,Economia,51,11,10.000000
Universidade da Beira Interior,Engenharia Civil,22,22,15.200000
Universidade da Beira Interior,Engenharia e Gestão Industrial,30,33,14.550000
Universidade da Beira Interior,Engenharia Eletromecânica,39,1,10.000000
Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,27,30,16.900000
Universidade da Beira Interior,Engenharia Informática,80,38,10.000000
Universidade da Beira Interior,Filosofia,21,21,17.250000
Universidade da Beira Interior,Gestão,82,80,10.000000
Universidade da Beira Interior,Marketing,37,41,16.250000
Universidade da Beira Interior,Psicologia,53,53,14.350000
Universidade da Beira Interior,Química Industrial,27,27,16.750000
Universidade da Beira Interior,Sociologia,45,47,16.250000
Universidade da Beira Interior,Arquitetura,64,64,16.100000
Universidade da Beira Interior,Ciências Biomédicas,70,72,15.550000
Universidade da Beira Interior,Ciências Farmacêuticas,62,62,15.500000
Universidade da Beira Interior,Ciências do Desporto,63,63,15.900000
Universidade da Beira Interior,Engenharia Aeronáutica,60,63,16.900000
Universidade da Beira Interior,Medicina,145,25,10.000000
Universidade da Beira Interior,Matemática e Aplicações,22,22,15.850000
Universidade da Beira Interior,Estudos Portugueses e Espanhóis,29,29,15.300000
Universidade da Beira Interior,Informática Web,30,15,10.000000
Universidade da Beira Interior,Física e Aplicações,27,8,10.000000
Universidade da Beira Interior,Tecnologia e Produto de Moda Sustentável,20,20,15.400000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,30,30,17.150000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,100,106,15.150000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,65,44,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,55,46,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,21,21,17.150000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,57,57,14.800000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,35,37,17.150000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,145,147,15.300000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,110,84,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,45,45,14.950000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,25,26,15.650000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,29,29,16.400000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,40,42,14.900000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,29,30,16.650000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,61,61,15.200000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,47,51,16.400000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,64,66,16.299999
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,74,75,14.850000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Ciência de Dados,40,40,15.750000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,101,99,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Gestão de Cidades Sustentáveis e Inteligentes,47,50,15.600000
Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,41,44,17.950001
Universidade de Coimbra - Faculdade de Direito,Direito,334,337,14.150000
Universidade de Coimbra - Faculdade de Economia,Economia,154,157,15.300000
Universidade de Coimbra - Faculdade de Economia,Gestão,89,91,15.400000
Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,52,52,15.550000
Universidade de Coimbra - Faculdade de Economia,Sociologia,41,41,17.450001
Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,207,93,10.000000
Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,31,31,15.600000
Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,30,30,15.900000
Universidade de Coimbra - Faculdade de Letras,Português,36,36,15.100000
Universidade de Coimbra - Faculdade de Letras,Arqueologia,25,25,16.150000
Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,35,36,14.000000
Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,20,22,16.400000
Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,33,35,15.650000
Universidade de Coimbra - Faculdade de Letras,Filosofia,28,28,16.500000
Universidade de Coimbra - Faculdade de Letras,Geografia,68,70,15.700000
Universidade de Coimbra - Faculdade de Letras,História,63,61,10.000000
Universidade de Coimbra - Faculdade de Letras,História da Arte,24,24,15.850000
Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,29,30,16.350000
Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,50,50,16.400000
Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,80,81,14.300000
Universidade de Coimbra - Faculdade de Letras,Turismo  Território e Patrimónios,33,35,16.700001
Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,53,57,17.500000
Universidade de Coimbra - Faculdade de Medicina,Medicina,260,190,10.000000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,70,76,16.750000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,130,91,10.000000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,32,33,17.250000
Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,120,77,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,32,32,16.049999
Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,41,44,15.700000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,35,32,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia e Geologia,10,10,17.049999
Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,32,32,15.400000
Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,28,28,13.150000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial,11,12,17.600000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,60,61,14.800000
Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,30,25,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Matemática,10,10,16.950001
Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,25,25,13.400000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,40,40,14.400000
Universidade de Évora - Escola de Ciências e Tecnologia,Enologia,20,9,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Física e Química,20,20,17.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,38,38,16.150000
Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,55,5,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,20,20,14.850000
Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,20,21,16.600000
Universidade de Évora - Escola de Artes,Design,36,37,14.800000
Universidade de Évora - Escola de Artes,Teatro,22,23,16.850000
Universidade de Évora - Escola de Artes,Arquitetura,34,34,15.550000
Universidade de Évora - Escola de Artes,Artes Plásticas e Multimédia,33,33,15.950000
Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,40,40,15.050000
Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,30,30,16.000000
Universidade de Évora - Escola de Ciências Sociais,Economia,40,41,16.450001
Universidade de Évora - Escola de Ciências Sociais,Gestão,68,70,15.550000
Universidade de Évora - Escola de Ciências Sociais,Psicologia,54,58,15.700000
Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,64,65,15.150000
Universidade de Évora - Escola de Ciências Sociais,Sociologia,42,44,15.950000
Universidade de Évora - Escola de Ciências Sociais,Turismo,42,42,14.750000
Universidade de Évora - Escola de Ciências Sociais,Património Cultural,22,23,16.049999
Universidade de Évora - Escola de Ciências Sociais,Educação Básica,24,24,16.600000
Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,50,44,10.000000
Universidade de Évora - Escola de Ciências Sociais,Estudos de Filosofia e de Cultura Contemporânea,20,20,16.950001
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências do Desporto,53,53,14.650000
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Reabilitação Psicomotora,27,27,15.550000
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências Biomédicas e da Saúde,20,20,15.850000
Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Ciências da Nutrição,22,22,18.299999
Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,231,54,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),20,20,15.750000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,27,30,17.150000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,98,101,16.049999
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,96,59,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,20,20,16.650000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,45,45,15.650000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,25,25,16.500000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,58,63,15.400000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,45,48,15.800000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,40,40,16.400000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Línguas  Literaturas e Culturas,76,76,15.300000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,57,58,15.850000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,60,60,14.950000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,43,44,14.600000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,20,20,16.200001
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,27,27,16.750000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,80,80,14.950000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,50,50,14.950000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,25,25,16.549999
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,55,60,15.700000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,55,56,14.800000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,28,30,14.550000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,20,21,18.049999
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,170,170,14.450000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,75,80,15.350000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Biológica,71,71,12.850000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,25,25,16.150000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,32,33,16.500000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,65,68,15.750000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,60,60,13.950000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Gestão do Risco,25,25,17.650000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,166,149,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,66,68,17.200001
Universidade Nova de Lisboa - Faculdade de Economia,Economia,195,200,16.500000
Universidade Nova de Lisboa - Faculdade de Economia,Gestão,290,148,10.000000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,48,50,16.600000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,69,71,15.300000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Ciência de Dados,50,50,16.549999
Universidade Nova de Lisboa - Faculdade de Direito,Direito,100,101,13.900000
Universidade do Minho,Geografia e Planeamento,44,45,14.850000
Universidade do Minho,Optometria e Ciências da Visão,35,35,15.050000
Universidade do Minho,Direito (regime pós-laboral),15,16,16.200001
Universidade do Minho,Educação (regime pós-laboral),25,25,16.299999
Universidade do Minho,Design de Produto,33,33,16.299999
Universidade do Minho,Administração Pública,41,41,14.800000
Universidade do Minho,Arqueologia,21,21,16.299999
Universidade do Minho,Biologia e Geologia,48,49,15.700000
Universidade do Minho,Bioquímica,66,67,15.100000
Universidade do Minho,Ciência Política,30,30,16.900000
Universidade do Minho,Ciências da Comunicação,65,70,15.150000
Universidade do Minho,Contabilidade,35,37,17.450001
Universidade do Minho,Direito,110,115,15.550000
Universidade do Minho,Economia,85,85,14.100000
Universidade do Minho,Engenharia Civil,34,34,15.450000
Universidade do Minho,Engenharia de Materiais,27,27,14.750000
Universidade do Minho,Engenharia de Telecomunicações e Informática,36,40,16.700001
Universidade do Minho,Engenharia e Gestão Industrial,68,68,15.050000
Universidade do Minho,Engenharia Física,35,36,17.650000
Universidade do Minho,Engenharia Informática,170,172,14.800000
Universidade do Minho,Engenharia Mecânica,82,82,14.500000
Universidade do Minho,Engenharia Química e Biológica,42,21,10.000000
Universidade do Minho,Engenharia Têxtil,25,25,15.300000
Universidade do Minho,Estudos Culturais,21,22,15.750000
Universidade do Minho,Filosofia,27,28,14.550000
Universidade do Minho,Física,27,27,15.300000
Universidade do Minho,Geologia,21,22,17.350000
