Candidato,Nota
11,15.750000
24,15.350000
27,14.900000
31,13.800000
32,15.750000
40,13.700000
43,14.150000
51,14.400000
54,14.000000
57,13.850000
60,13.550000
63,11.400000
65,13.600000
66,14.900000
67,13.150000
69,14.200000
77,14.100000
81,15.100000
82,13.700000
95,14.650000
97,15.100000
109,14.350000
110,15.100000
114,13.750000
125,15.250000
134,15.300000
142,15.200000
143,14.800000
146,15.200000
153,14.950000
155,15.250000
159,16.049999
163,14.400000
164,14.250000
167,13.100000
185,14.450000
191,14.550000
192,15.000000
207,14.700000
208,14.600000
215,14.250000
234,14.250000
238,13.700000
247,14.950000
250,15.200000
256,13.150000
266,15.400000
274,14.050000
285,14.150000
286,14.600000
292,15.350000
293,14.400000
294,14.600000
296,14.750000
300,14.050000
313,15.200000
315,15.250000
319,14.550000
323,14.700000
333,14.450000
334,14.350000
336,14.000000
338,13.800000
346,13.600000
347,14.150000
348,15.700000
351,14.500000
356,14.950000
362,12.350000
366,14.450000
377,13.900000
387,14.450000
388,14.950000
389,14.200000
390,13.950000
392,14.200000
394,14.600000
395,13.950000
398,13.650000
400,13.050000
404,13.950000
407,13.600000
421,15.450000
423,14.500000
425,13.900000
426,15.000000
429,15.250000
430,15.200000
434,13.600000
443,13.150000
447,14.850000
450,14.650000
460,14.250000
465,13.900000
466,14.850000
470,13.650000
472,13.650000
482,15.200000
484,13.550000
487,15.350000
491,12.800000
492,15.100000
496,14.650000
498,14.100000
518,14.900000
520,12.100000
523,13.950000
526,14.000000
529,13.650000
531,15.300000
533,13.550000
547,14.300000
572,14.450000
583,14.400000
601,14.750000
604,14.950000
613,13.500000
617,14.300000
618,14.650000
619,14.400000
624,15.750000
629,14.400000
630,15.250000
634,13.550000
635,13.200000
639,15.800000
641,13.550000
643,14.700000
652,15.200000
654,14.350000
656,14.600000
657,13.900000
659,15.000000
661,14.650000
664,14.750000
670,13.500000
671,13.950000
676,14.300000
680,14.700000
681,14.500000
689,14.100000
690,14.250000
693,14.800000
694,14.850000
699,14.550000
701,15.350000
702,15.250000
705,13.400000
707,14.950000
721,14.200000
730,14.800000
733,11.300000
735,13.950000
753,14.300000
755,14.050000
760,16.250000
763,14.250000
770,14.100000
773,15.200000
774,14.950000
777,15.550000
778,15.400000
780,12.850000
816,15.500000
817,14.650000
820,14.300000
832,13.150000
838,15.550000
840,14.700000
846,15.150000
863,14.400000
869,13.350000
870,14.650000
873,14.650000
878,14.450000
891,14.150000
896,14.050000
902,12.700000
905,14.450000
906,15.300000
909,13.350000
910,13.100000
912,13.550000
914,13.300000
916,15.700000
920,15.400000
922,14.250000
927,13.950000
928,15.250000
932,15.150000
935,14.200000
942,15.300000
950,14.750000
954,13.300000
959,15.350000
961,12.300000
962,13.100000
964,14.950000
968,14.400000
970,13.500000
971,12.850000
974,15.450000
978,13.700000
979,15.000000
992,14.100000
993,14.950000
995,14.100000
1012,13.550000
1016,14.650000
1023,14.700000
1030,14.150000
1032,13.250000
1034,15.200000
1036,13.200000
1058,15.400000
1069,13.950000
1070,13.100000
1075,14.900000
1081,15.750000
1086,14.650000
1088,14.250000
1090,13.600000
1097,15.300000
1099,14.050000
1104,14.750000
1115,16.700001
1119,15.500000
1120,13.400000
1123,14.000000
1129,15.100000
1130,13.400000
1139,14.850000
1179,15.000000
1183,14.450000
1188,14.050000
1190,15.000000
1204,15.500000
1217,14.250000
1221,15.150000
1223,13.800000
1225,14.250000
1234,15.150000
1243,12.950000
1244,14.300000
1250,13.600000
1271,13.850000
1272,14.850000
1274,13.900000
1283,14.450000
1284,15.200000
1285,14.900000
1292,14.500000
1296,12.950000
1302,15.000000
1314,13.700000
1316,14.600000
1317,13.750000
1322,12.900000
1328,14.250000
1333,14.250000
1336,14.400000
1339,14.900000
1340,15.450000
1341,15.300000
1349,13.000000
1351,15.550000
1355,15.300000
1356,14.750000
1363,13.550000
1371,15.550000
1372,14.700000
1378,13.400000
1387,15.200000
1399,13.700000
1405,14.950000
1412,13.800000
1417,13.950000
1419,13.150000
1420,14.950000
1425,14.250000
1432,14.000000
1438,15.300000
1441,13.550000
1456,15.150000
1459,15.000000
1466,13.250000
1467,15.650000
1482,14.500000
1490,13.750000
1492,14.550000
1496,14.350000
1503,14.950000
1511,13.550000
1514,13.400000
1516,14.300000
1519,13.150000
1530,13.900000
1533,13.800000
1544,13.100000
1547,13.600000
1560,13.900000
1588,13.650000
1594,15.200000
1600,13.850000
1603,14.500000
1605,14.200000
1612,15.700000
1614,14.300000
1615,14.600000
1619,14.650000
1624,13.600000
1627,15.400000
1635,12.800000
1636,12.200000
1637,14.600000
1640,14.050000
1642,14.900000
1658,14.800000
1664,13.350000
1668,13.250000
1674,15.200000
1675,14.950000
1676,15.600000
1680,14.100000
1684,14.150000
1686,14.750000
1692,14.250000
1693,14.450000
1695,15.450000
1697,13.400000
1700,14.850000
1709,15.250000
1721,15.250000
1723,13.300000
1724,14.350000
1729,15.550000
1732,13.400000
1737,15.300000
1740,14.150000
1746,14.750000
1754,13.900000
1756,15.600000
1757,14.350000
1758,15.250000
1760,11.000000
1762,13.450000
1766,13.150000
1768,13.700000
1776,13.800000
1778,12.850000
1793,15.300000
1802,12.250000
1819,12.800000
1823,16.150000
1825,13.650000
1828,15.400000
1829,13.700000
1834,14.850000
1845,14.250000
1846,15.350000
1857,14.300000
1859,15.100000
1863,13.650000
1865,14.650000
1869,14.600000
1871,15.300000
1883,14.950000
1884,13.950000
1887,15.600000
