ID Candidato,PI,12,Nota Candidatura,E1,C1,E2,C2,E3,C3,E4,C4,E5,C5
1,18.5,15.6,17.05,7230,L101,400,9351,400,9740,1110,9847,3064,9104
2,20,16.5,18.25,903,9015,3022,9010,6800,9189,3092,9147,505,9139
3,17.4,15.2,16.3,1503,9141,203,9013,1503,9141,1107,9197,3105,9013
4,19.1,16.6,17.85,3164,9498,1105,L209,1502,8399,902,9020,906,L188
5,14.4,18.2,16.3,3045,8309,1517,9081,1203,9113,1517,9081,400,9112
6,14.7,19.2,16.95,7110,9076,3063,9186,300,9069,904,9081,1504,8358
7,17.4,15.7,16.55,501,9113,300,9194,1202,9254,3182,9254,903,9348
8,17.2,17.8,17.5,1515,8377,3123,9130,1307,9107,5402,9070,3113,9231
9,15.2,13.5,14.35,150,9238,1000,9113,3135,9098,1507,9813,7220,9504
10,20,11.3,15.65,1306,9069,1000,9853,7220,9504,3033,9074,6800,9119
11,14.4,17.1,15.75,903,L231,3135,9117,3081,9853,1502,9790,1506,9182
12,15.4,15.3,15.35,6800,9448,3042,L175,903,L231,1111,9707,3062,9717
13,15.1,15.9,15.5,1503,9113,1517,A001,3134,9009,3022,9238,1514,8411
14,17.1,17.5,17.3,3064,9119,1110,9708,1510,9841,1105,9104,300,9113
15,12.7,16.6,14.65,903,9126,1202,9196,602,8262,1104,9081,1518,9345
16,13.6,15.2,14.4,602,9104,3062,9774,903,9123,3145,L034,3163,9254
17,17.9,16.1,17,3162,9473,150,9238,1515,9087,7110,9183,300,9119
18,16,15.1,15.55,911,9078,3131,9878,6800,9240,3062,9898,400,9257
19,13.6,13.4,13.5,1518,9257,1507,9813,1308,9081,3102,9242,3031,9140
20,18.9,15,16.95,1000,9785,1110,9847,7001,9500,3142,L179,1503,9385
21,14.5,18.8,16.65,3163,9147,3134,9227,3112,9005,1518,9125,3117,9476
22,19.3,13.5,16.4,1518,L162,300,9002,1501,9071,3062,9675,1518,9345
23,12.4,17.2,14.8,502,8067,1507,9813,6800,L030,1508,9791,3145,L008
24,12.6,18.1,15.35,503,9240,7001,9500,1113,9548,3117,9476,7015,8149
25,13.8,16.8,15.3,1507,9813,602,9104,3033,L260,1000,8184,1105,L236
26,13.5,15.1,14.3,7210,9861,3135,9455,1510,9707,1103,8258,7110,9177
27,13.6,16.2,14.9,3102,9123,3082,9205,3031,9869,3103,9243,3062,9717
28,15.9,20,17.95,1104,9147,1507,9554,7045,9504,3181,9347,902,9182
29,16.6,20,18.3,3117,9242,201,9204,501,L285,1105,9104,6810,L282
30,18.5,16.8,17.65,7040,L101,3091,9005,3117,9476,3102,9119,6800,9098
31,14,13.6,13.8,7015,9500,3083,L269,1506,8458,300,9012,3118,9121
32,14.2,17.3,15.75,602,9012,1105,L209,7002,9500,300,9455,1110,9847
33,19.5,15.7,17.6,3083,L269,5402,9070,3135,9117,1109,9026,7110,9163
34,16.1,20,18.05,3091,9853,7035,9500,1503,9011,1516,9002,6800,9189
35,16.1,17.8,16.95,3051,L093,3064,9119,3062,9731,3134,8005,1516,9157
36,16.4,15.7,16.05,3135,9125,1103,9385,1518,9099,3064,L209,1000,9002
37,18.2,20,19.1,3151,9853,1000,9096,3014,L135,903,L209,507,9026
38,18,16.9,17.45,505,9773,1105,9540,3113,9010,903,L231,7110,9217
39,14.9,17.2,16.05,1502,L010,3053,L275,3135,9098,400,9494,1105,9123
40,17,10.4,13.7,3012,8405,6800,9448,1109,9026,505,9139,300,L223
41,15.7,15.9,15.8,3011,9869,904,9147,1204,9540,7230,L068,1105,9099
42,18.8,14.8,16.8,1308,9853,3138,9045,602,9003,1505,9494,3155,9500
43,15.4,12.9,14.15,3082,9148,1000,L112,300,9194,1105,L236,300,9069
44,13.6,17,15.3,3143,9152,3054,9147,3102,9112,3152,L124,1000,9056
45,17.6,12.6,15.1,400,9205,3117,9058,1504,8358,1109,9026,3145,L034
46,13.7,18.4,16.05,1518,9345,1000,9019,1516,9157,1107,9139,1104,9147
47,14.5,14.8,14.65,503,9147,7045,9500,3064,L209,1000,L188,1107,L251
48,15,16.3,15.65,505,9135,7001,9500,501,9104,1105,9104,3139,8442
49,16.9,16.5,16.7,903,L167,1507,9554,6800,8109,1105,9540,3054,9147
50,13.4,17.6,15.5,1107,9197,6800,9885,505,9006,3142,L179,1103,9223
51,12.5,16.3,14.4,902,9020,7045,9504,1516,9448,3152,9862,3182,9205
52,17.5,14.3,15.9,1516,8014,3163,9751,1105,L209,6800,9257,602,9818
53,15.5,18.4,16.95,1504,8358,6800,9119,1103,9146,6810,L281,3145,L008
54,13,15,14,1105,L236,505,9773,3143,9185,3103,9243,501,9448
55,17.4,15.4,16.4,1515,8258,3135,9110,1516,8364,501,9011,903,9089
56,15.1,11.6,13.35,1306,9219,903,L231,1107,L251,400,9351,3163,9147
57,15.2,12.5,13.85,1204,9707,1501,9071,300,9069,3135,9123,7065,9500
58,18.2,15.3,16.75,3186,L021,3152,L124,602,L090,3164,8464,6800,9019
59,17.5,13.8,15.65,1105,L209,1105,9104,7110,9177,1513,L040,6800,9119
60,14.9,12.2,13.55,3082,9205,3113,9231,1502,9904,502,8067,300,9015
61,18.4,14.3,16.35,3151,9633,400,9020,3182,9109,1000,9243,1105,9099
62,16.9,16.8,16.85,501,9089,3091,L034,1518,9089,1108,9813,1103,L227
63,10.4,12.4,11.4,3139,9921,1000,L215,3182,9152,1516,8109,1507,9554
64,16.6,17.9,17.25,3103,9457,1502,8399,3102,9112,1516,9238,3082,9148
65,11.6,15.6,13.6,3135,9123,3117,9476,1504,8358,3164,8464,506,9548
66,15,14.8,14.9,1501,9071,1518,9099,1107,L251,7220,9861,300,9252
67,12.4,13.9,13.15,3051,L093,1308,9081,3135,9125,1506,9182,7001,9500
68,17.4,17.9,17.65,906,8259,3101,9492,400,9112,3063,9801,6800,9448
69,14.3,14.1,14.2,902,9139,7220,9861,1507,9554,300,L217,1202,9238
70,14.3,16.6,15.45,3062,9254,3011,9205,1518,9121,3182,9109,3063,8029
71,15,16.2,15.6,1517,9081,300,L217,300,9146,501,9223,1506,9006
72,14.8,18.4,16.6,1503,9226,502,8067,1114,9066,3062,9853,1103,L096
73,14.1,17.3,15.7,3152,L124,1518,9125,1103,L227,602,9119,502,9078
74,20,15.3,17.65,7001,9500,1306,9069,3031,8402,3105,9178,502,8067
75,20,19.1,19.55,1501,9257,1204,9707,3113,9222,1000,9139,7001,9500
76,12.8,18.4,15.6,904,9081,1510,9707,7230,9504,3082,9148,3063,8029
77,15.3,12.9,14.1,3051,9003,1000,L188,1107,9182,505,9773,7230,9549
78,15.4,14.6,15,1518,9455,1516,8102,3134,9009,903,8036,3042,9084
79,14.8,12.3,13.55,1518,9474,7035,L068,3118,9455,1000,9023,3061,L178
80,16,16.8,16.4,1000,9192,505,9143,3122,9070,3117,9889,1517,9147
81,12.3,17.9,15.1,6800,9189,6800,9156,300,L209,3121,9254,1000,9141
82,14.5,12.9,13.7,605,9707,1103,8258,1204,9707,1308,9147,400,9139
83,16.4,15.9,16.15,3135,9123,3139,8442,902,9020,904,9081,6800,9019
84,16.3,14.4,15.35,3065,9119,3062,9054,300,9455,1000,L112,3135,9119
85,16.5,15.7,16.1,1506,L097,3064,9105,150,9853,1308,9853,3113,9191
86,15.7,14,14.85,501,9141,3022,9010,1517,9210,7210,8141,204,9081
87,15.4,15.3,15.35,1518,9455,1503,9113,604,9229,7210,L067,1307,9107
88,16.1,16.3,16.2,604,9081,3105,9178,1510,9841,501,8408,3182,9205
89,20,16.6,18.3,1104,9081,3103,9243,7230,8138,1506,9006,605,9841
90,18.2,17.5,17.85,1519,9104,300,L209,3134,9053,1506,9131,1515,9011
91,16.6,17.2,16.9,7080,9500,1000,9113,7010,9500,1519,9104,1000,L188
