Codigo Instit.,Codigo Curso,Nome da Instituicao,Nome do Curso,Grau,Vagas Iniciais
140,8031,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),PM,16
140,8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,15
140,9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,20
140,L121,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,L1,25
150,9135,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Europeus,L1,20
150,9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,20
150,9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,35
150,9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,38
150,9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,28
150,9652,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Comunicação e Relações Públicas,L1,40
150,9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,21
150,L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,24
160,8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,50
160,8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,25
160,8571,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Mecânica,PL,22
160,9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,28
160,9185,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,L1,26
170,9081,Universidade dos Açores - Faculdade de Economia e Gestão,Economia,L1,20
170,9147,Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,L1,53
170,9254,Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,L1,25
201,8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,26
201,9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas  Literaturas e Culturas,L1,25
201,9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,67
201,9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,27
201,9821,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,L1,30
201,L252,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação Intercultural,L1,32
203,8258,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,L1,21
203,9003,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia,L1,21
203,9011,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,L1,42
203,9013,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,L1,63
203,9015,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,L1,21
203,9016,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,L1,20
203,9119,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,84
203,9210,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,27
203,9494,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,MI,50
203,9540,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioengenharia,L1,20
203,L123,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Gestão Marinha e Costeira,L1,27
204,9081,Universidade do Algarve - Faculdade de Economia,Economia,L1,27
204,9152,Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,L1,66
204,9240,Universidade do Algarve - Faculdade de Economia,Sociologia,L1,37
206,9351,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,Ciências Biomédicas,L1,53
300,9002,Universidade de Aveiro,Administração Pública,L1,61
300,9011,Universidade de Aveiro,Biologia,L1,108
300,9012,Universidade de Aveiro,Biologia e Geologia,L1,26
300,9015,Universidade de Aveiro,Bioquímica,L1,66
300,9016,Universidade de Aveiro,Biotecnologia,L1,64
300,9041,Universidade de Aveiro,Ciências do Mar,L1,32
300,9069,Universidade de Aveiro,Design,L1,51
300,9081,Universidade de Aveiro,Economia,L1,51
300,9089,Universidade de Aveiro,Engenharia Civil,L1,21
300,9096,Universidade de Aveiro,Engenharia de Materiais,L1,27
300,9099,Universidade de Aveiro,Engenharia do Ambiente,L1,20
300,9104,Universidade de Aveiro,Engenharia e Gestão Industrial,L1,82
300,9113,Universidade de Aveiro,Engenharia Física,L1,42
300,9119,Universidade de Aveiro,Engenharia Informática,L1,75
300,9123,Universidade de Aveiro,Engenharia Mecânica,L1,107
300,9125,Universidade de Aveiro,Engenharia Química,L1,42
300,9141,Universidade de Aveiro,Física,L1,21
300,9146,Universidade de Aveiro,Geologia,L1,20
300,9147,Universidade de Aveiro,Gestão,L1,44
300,9194,Universidade de Aveiro,Línguas e Estudos Editoriais,L1,27
300,9196,Universidade de Aveiro,Línguas e Relações Empresariais,L1,77
300,9204,Universidade de Aveiro,Línguas  Literaturas e Culturas,L1,31
300,9209,Universidade de Aveiro,Matemática,L1,35
300,9212,Universidade de Aveiro,Meteorologia  Oceanografia e Geofísica,L1,20
300,9219,Universidade de Aveiro,Psicologia,L1,36
300,9223,Universidade de Aveiro,Química,L1,20
300,9252,Universidade de Aveiro,Tradução,L1,39
300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,77
300,9455,Universidade de Aveiro,Engenharia Biomédica,L1,37
300,9853,Universidade de Aveiro,Educação Básica,L1,49
300,L187,Universidade de Aveiro,Gestão e Planeamento em Turismo,L1,29
300,L202,Universidade de Aveiro,Engenharia de Automação Industrial,L1,40
300,L209,Universidade de Aveiro,Engenharia Eletrotécnica e de Computadores,L1,56
300,L217,Universidade de Aveiro,Engenharia de Computadores e Informática,L1,91
300,L221,Universidade de Aveiro,Engenharia Aeroespacial,L1,45
300,L223,Universidade de Aveiro,Engenharia Computacional,L1,25
300,L254,Universidade de Aveiro,Multimédia e Tecnologias da Comunicação,L1,74
400,8184,Universidade da Beira Interior,Optometria e Ciências da Visão,L1,40
400,9015,Universidade da Beira Interior,Bioquímica,L1,52
400,9016,Universidade da Beira Interior,Biotecnologia,L1,51
400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,30
400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,66
400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,22
400,9048,Universidade da Beira Interior,Cinema,L1,48
400,9071,Universidade da Beira Interior,Design de Moda,L1,60
400,9074,Universidade da Beira Interior,Design Industrial,L1,53
400,9075,Universidade da Beira Interior,Design Multimédia,L1,48
400,9081,Universidade da Beira Interior,Economia,L1,51
400,9089,Universidade da Beira Interior,Engenharia Civil,L1,22
400,9104,Universidade da Beira Interior,Engenharia e Gestão Industrial,L1,30
400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,39
400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,27
400,9119,Universidade da Beira Interior,Engenharia Informática,L1,80
400,9139,Universidade da Beira Interior,Filosofia,L1,21
400,9147,Universidade da Beira Interior,Gestão,L1,82
400,9205,Universidade da Beira Interior,Marketing,L1,37
400,9219,Universidade da Beira Interior,Psicologia,L1,53
400,9225,Universidade da Beira Interior,Química Industrial,L1,27
400,9240,Universidade da Beira Interior,Sociologia,L1,45
400,9257,Universidade da Beira Interior,Arquitetura,MI,64
400,9351,Universidade da Beira Interior,Ciências Biomédicas,L1,70
400,9494,Universidade da Beira Interior,Ciências Farmacêuticas,MI,62
400,9707,Universidade da Beira Interior,Ciências do Desporto,L1,63
400,9740,Universidade da Beira Interior,Engenharia Aeronáutica,L1,60
400,9813,Universidade da Beira Interior,Medicina,MI,145
400,9835,Universidade da Beira Interior,Matemática e Aplicações,L1,22
400,9918,Universidade da Beira Interior,Estudos Portugueses e Espanhóis,L1,29
400,L042,Universidade da Beira Interior,Informática Web,L1,30
400,L205,Universidade da Beira Interior,Física e Aplicações,L1,27
400,L258,Universidade da Beira Interior,Tecnologia e Produto de Moda Sustentável,L1,20
501,8408,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,L1,30
501,9011,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,L1,100
501,9015,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,L1,65
501,9089,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,L1,55
501,9099,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,L1,21
501,9104,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,57
501,9113,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,L1,35
501,9119,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,145
501,9123,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,L1,110
501,9125,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,L1,45
501,9141,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,L1,25
501,9146,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,L1,29
501,9209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,L1,40
501,9223,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,L1,29
501,9257,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,MI,61
501,9448,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,L1,47
501,9455,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,L1,64
501,9891,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,L1,74
501,L192,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Ciência de Dados,L1,40
501,L209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,L1,101
501,L285,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Gestão de Cidades Sustentáveis e Inteligentes,L1,47
502,8067,Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,L1,41
502,9078,Universidade de Coimbra - Faculdade de Direito,Direito,L1,334
503,9081,Universidade de Coimbra - Faculdade de Economia,Economia,L1,154
503,9147,Universidade de Coimbra - Faculdade de Economia,Gestão,L1,89
503,9229,Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,L1,52
503,9240,Universidade de Coimbra - Faculdade de Economia,Sociologia,L1,41
504,9494,Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,MI,207
504,9819,Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,L1,31
504,9832,Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,L1,30
505,8393,Universidade de Coimbra - Faculdade de Letras,Português,L1,36
505,9006,Universidade de Coimbra - Faculdade de Letras,Arqueologia,L1,25
505,9132,Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,L1,35
505,9133,Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,L1,20
505,9135,Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,L1,33
505,9139,Universidade de Coimbra - Faculdade de Letras,Filosofia,L1,28
505,9143,Universidade de Coimbra - Faculdade de Letras,Geografia,L1,68
505,9181,Universidade de Coimbra - Faculdade de Letras,História,L1,63
505,9182,Universidade de Coimbra - Faculdade de Letras,História da Arte,L1,24
505,9694,Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,L1,29
505,9773,Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,L1,50
505,9779,Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,L1,80
505,L109,Universidade de Coimbra - Faculdade de Letras,Turismo  Território e Patrimónios,L1,33
506,9548,Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,MI,53
506,9813,Universidade de Coimbra - Faculdade de Medicina,Medicina,MI,260
507,9026,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,70
507,9219,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,L1,130
507,9238,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,L1,32
508,9707,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,L1,120
602,8262,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,L1,32
602,9003,Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,L1,41
602,9011,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,L1,35
602,9012,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia e Geologia,L1,10
602,9015,Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,L1,32
602,9016,Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,L1,28
602,9104,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,11
602,9119,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,L1,60
602,9143,Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,L1,30
602,9209,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática,L1,10
602,9210,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,25
602,9751,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,L1,40
602,9752,Universidade de Évora - Escola de Ciências e Tecnologia,Enologia,L1,20
602,9760,Universidade de Évora - Escola de Ciências e Tecnologia,Física e Química,L1,20
602,9818,Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,L1,38
602,9847,Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,MI,55
602,9910,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,L1,20
602,L090,Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,L1,20
603,9069,Universidade de Évora - Escola de Artes,Design,L1,36
603,9243,Universidade de Évora - Escola de Artes,Teatro,L1,22
603,9257,Universidade de Évora - Escola de Artes,Arquitetura,MI,34
